%2A.aln.sam	%2A	sebastes_spp
CF150713-01-05_S78_L001_R1_001.fastq.gz.aln.sam	CF150713-01-05_S78_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-07_S79_L001_R1_001.fastq.gz.aln.sam	CF150713-01-07_S79_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-08_S80_L001_R1_001.fastq.gz.aln.sam	CF150713-01-08_S80_L001_R1_001.fastq.gz	sebastes_spp
CF150713-01-11_S81_L001_R1_001.fastq.gz.aln.sam	CF150713-01-11_S81_L001_R1_001.fastq.gz	sebastes_spp
CF150713-02-04_S82_L001_R1_001.fastq.gz.aln.sam	CF150713-02-04_S82_L001_R1_001.fastq.gz	sebastes_spp
CF150713-02-06_S83_L001_R1_001.fastq.gz.aln.sam	CF150713-02-06_S83_L001_R1_001.fastq.gz	sebastes_spp
CF150713-02-08_S84_L001_R1_001.fastq.gz.aln.sam	CF150713-02-08_S84_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-02_S85_L001_R1_001.fastq.gz.aln.sam	CF150713-03-02_S85_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-04_S86_L001_R1_001.fastq.gz.aln.sam	CF150713-03-04_S86_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-06_S87_L001_R1_001.fastq.gz.aln.sam	CF150713-03-06_S87_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-08_S88_L001_R1_001.fastq.gz.aln.sam	CF150713-03-08_S88_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-12_S90_L001_R1_001.fastq.gz.aln.sam	CF150713-03-12_S90_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-14_S91_L001_R1_001.fastq.gz.aln.sam	CF150713-03-14_S91_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-16_S92_L001_R1_001.fastq.gz.aln.sam	CF150713-03-16_S92_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-18_S93_L001_R1_001.fastq.gz.aln.sam	CF150713-03-18_S93_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-19_S94_L001_R1_001.fastq.gz.aln.sam	CF150713-03-19_S94_L001_R1_001.fastq.gz	sebastes_spp
CF150713-03-20_S97_L001_R1_001.fastq.gz.aln.sam	CF150713-03-20_S97_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-02_S98_L001_R1_001.fastq.gz.aln.sam	CF150713-04-02_S98_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-05_S99_L001_R1_001.fastq.gz.aln.sam	CF150713-04-05_S99_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-07_S100_L001_R1_001.fastq.gz.aln.sam	CF150713-04-07_S100_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-10_S101_L001_R1_001.fastq.gz.aln.sam	CF150713-04-10_S101_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-12_S102_L001_R1_001.fastq.gz.aln.sam	CF150713-04-12_S102_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-14_S103_L001_R1_001.fastq.gz.aln.sam	CF150713-04-14_S103_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-16_S104_L001_R1_001.fastq.gz.aln.sam	CF150713-04-16_S104_L001_R1_001.fastq.gz	sebastes_spp
CF150713-04-18_S105_L001_R1_001.fastq.gz.aln.sam	CF150713-04-18_S105_L001_R1_001.fastq.gz	sebastes_spp
CF150825-01-01_S117_L001_R1_001.fastq.gz.aln.sam	CF150825-01-01_S117_L001_R1_001.fastq.gz	sebastes_spp
CF150825-02-01_S118_L001_R1_001.fastq.gz.aln.sam	CF150825-02-01_S118_L001_R1_001.fastq.gz	sebastes_spp
CF150825-04-01_S119_L001_R1_001.fastq.gz.aln.sam	CF150825-04-01_S119_L001_R1_001.fastq.gz	sebastes_spp
CF160713-03-08_S363_L001_R1_001.fastq.gz.aln.sam	CF160713-03-08_S363_L001_R1_001.fastq.gz	sebastes_spp
CF160713-03-17_S364_L001_R1_001.fastq.gz.aln.sam	CF160713-03-17_S364_L001_R1_001.fastq.gz	sebastes_spp
CF160726-01-01_S132_L001_R1_001.fastq.gz.aln.sam	CF160726-01-01_S132_L001_R1_001.fastq.gz	sebastes_spp
CF160726-02-01_S133_L001_R1_001.fastq.gz.aln.sam	CF160726-02-01_S133_L001_R1_001.fastq.gz	sebastes_spp
CF160726-02-03_S134_L001_R1_001.fastq.gz.aln.sam	CF160726-02-03_S134_L001_R1_001.fastq.gz	sebastes_spp
CF160726-02-05_S135_L001_R1_001.fastq.gz.aln.sam	CF160726-02-05_S135_L001_R1_001.fastq.gz	sebastes_spp
CF160726-03-02_S136_L001_R1_001.fastq.gz.aln.sam	CF160726-03-02_S136_L001_R1_001.fastq.gz	sebastes_spp
CF160726-03-04_S137_L001_R1_001.fastq.gz.aln.sam	CF160726-03-04_S137_L001_R1_001.fastq.gz	sebastes_spp
CF160726-04-01_S138_L001_R1_001.fastq.gz.aln.sam	CF160726-04-01_S138_L001_R1_001.fastq.gz	sebastes_spp
CF160726-04-03_S139_L001_R1_001.fastq.gz.aln.sam	CF160726-04-03_S139_L001_R1_001.fastq.gz	sebastes_spp
CF160726-04-05_S140_L001_R1_001.fastq.gz.aln.sam	CF160726-04-05_S140_L001_R1_001.fastq.gz	sebastes_spp
CF170503-02-01_S214_L001_R1_001.fastq.gz.aln.sam	CF170503-02-01_S214_L001_R1_001.fastq.gz	sebastes_spp
CF170627-03-01_S223_L001_R1_001.fastq.gz.aln.sam	CF170627-03-01_S223_L001_R1_001.fastq.gz	sebastes_spp
